Region,Country,State,City,Month,Day,Year,AvgTemperature
Middle East,Turkey,,Ankara,1,9,2014,25.0
Middle East,Turkey,,Ankara,1,10,2014,25.3
Middle East,Turkey,,Ankara,1,11,2014,27.5
Middle East,Turkey,,Ankara,1,12,2014,29.2
Middle East,Turkey,,Ankara,1,13,2014,33.0
Middle East,Turkey,,Ankara,1,14,2014,28.0
Middle East,Turkey,,Ankara,1,15,2014,32.7
Middle East,Turkey,,Ankara,1,16,2014,34.8
Middle East,Turkey,,Ankara,1,17,2014,38.5
Middle East,Turkey,,Ankara,1,18,2014,37.4
Middle East,Turkey,,Ankara,1,19,2014,38.4
Middle East,Turkey,,Ankara,1,20,2014,36.5
Middle East,Turkey,,Ankara,1,21,2014,39.7
Middle East,Turkey,,Ankara,1,22,2014,37.6
Middle East,Turkey,,Ankara,1,23,2014,37.4
Middle East,Turkey,,Ankara,1,24,2014,39.5
Middle East,Turkey,,Ankara,1,25,2014,36.7
Middle East,Turkey,,Ankara,1,26,2014,40.3
Middle East,Turkey,,Ankara,1,27,2014,44.6
Middle East,Turkey,,Ankara,1,28,2014,41.1
Middle East,Turkey,,Ankara,1,29,2014,41.0
Middle East,Turkey,,Ankara,1,30,2014,37.3
Middle East,Turkey,,Ankara,1,31,2014,32.5
Middle East,Turkey,,Ankara,2,1,2014,29.6
Middle East,Turkey,,Ankara,2,2,2014,30.4
Middle East,Turkey,,Ankara,2,3,2014,30.9
Middle East,Turkey,,Ankara,2,4,2014,28.5
Middle East,Turkey,,Ankara,2,5,2014,29.4
Middle East,Turkey,,Ankara,2,6,2014,-99
Middle East,Turkey,,Ankara,2,7,2014,31.6
Middle East,Turkey,,Ankara,2,8,2014,35.2
Middle East,Turkey,,Ankara,2,9,2014,38.0
Middle East,Turkey,,Ankara,2,10,2014,43.2
Middle East,Turkey,,Ankara,2,11,2014,41.2
Middle East,Turkey,,Ankara,2,12,2014,42.1
Middle East,Turkey,,Ankara,2,13,2014,43.6
Middle East,Turkey,,Ankara,2,14,2014,44.6
Middle East,Turkey,,Ankara,2,15,2014,42.8
Middle East,Turkey,,Ankara,2,16,2014,41.2
Middle East,Turkey,,Ankara,2,17,2014,39.2
Middle East,Turkey,,Ankara,2,18,2014,42.6
Middle East,Turkey,,Ankara,2,19,2014,44.9
Middle East,Turkey,,Ankara,2,20,2014,45.1
Middle East,Turkey,,Ankara,2,21,2014,45.4
Middle East,Turkey,,Ankara,2,22,2014,47.0
Middle East,Turkey,,Ankara,2,23,2014,46.1
Middle East,Turkey,,Ankara,2,24,2014,42.8
Middle East,Turkey,,Ankara,2,25,2014,41.2
Middle East,Turkey,,Ankara,2,26,2014,39.7
Middle East,Turkey,,Ankara,2,27,2014,38.4
Middle East,Turkey,,Ankara,2,28,2014,37.6
Middle East,Turkey,,Ankara,3,1,2014,41.6
Middle East,Turkey,,Ankara,3,2,2014,49.2
Middle East,Turkey,,Ankara,3,3,2014,47.3
Middle East,Turkey,,Ankara,3,4,2014,46.9
Middle East,Turkey,,Ankara,3,5,2014,45.6
Middle East,Turkey,,Ankara,3,6,2014,46.2
Middle East,Turkey,,Ankara,3,7,2014,44.8
Middle East,Turkey,,Ankara,3,8,2014,45.8
Middle East,Turkey,,Ankara,3,9,2014,47.5
Middle East,Turkey,,Ankara,3,10,2014,45.9
Middle East,Turkey,,Ankara,3,11,2014,39.1
Middle East,Turkey,,Ankara,3,12,2014,38.0
Middle East,Turkey,,Ankara,3,13,2014,34.9
Middle East,Turkey,,Ankara,3,14,2014,36.3
Middle East,Turkey,,Ankara,3,15,2014,40.3
Middle East,Turkey,,Ankara,3,16,2014,43.2
Middle East,Turkey,,Ankara,3,17,2014,44.4
Middle East,Turkey,,Ankara,3,18,2014,42.9
Middle East,Turkey,,Ankara,3,19,2014,45.3
Middle East,Turkey,,Ankara,3,20,2014,42.4
Middle East,Turkey,,Ankara,3,21,2014,42.4
Middle East,Turkey,,Ankara,3,22,2014,45.4
Middle East,Turkey,,Ankara,3,23,2014,49.2
Middle East,Turkey,,Ankara,3,24,2014,52.3
Middle East,Turkey,,Ankara,3,25,2014,52.2
Middle East,Turkey,,Ankara,3,26,2014,45.3
Middle East,Turkey,,Ankara,3,27,2014,47.6
Middle East,Turkey,,Ankara,3,28,2014,48.2
Middle East,Turkey,,Ankara,3,29,2014,40.3
Middle East,Turkey,,Ankara,3,30,2014,30.5
Middle East,Turkey,,Ankara,3,31,2014,38.5
Middle East,Turkey,,Ankara,4,1,2014,46.4
Middle East,Turkey,,Ankara,4,2,2014,46.6
Middle East,Turkey,,Ankara,4,3,2014,45.6
Middle East,Turkey,,Ankara,4,4,2014,48.4
Middle East,Turkey,,Ankara,4,5,2014,53.9
Middle East,Turkey,,Ankara,4,6,2014,58.1
Middle East,Turkey,,Ankara,4,7,2014,58.6
Middle East,Turkey,,Ankara,4,8,2014,46.7
Middle East,Turkey,,Ankara,4,9,2014,46.5
Middle East,Turkey,,Ankara,4,10,2014,50.0
Middle East,Turkey,,Ankara,4,11,2014,50.3
Middle East,Turkey,,Ankara,4,12,2014,47.0
Middle East,Turkey,,Ankara,4,13,2014,46.6
Middle East,Turkey,,Ankara,4,14,2014,47.6
Middle East,Turkey,,Ankara,4,15,2014,51.3
Middle East,Turkey,,Ankara,4,16,2014,54.3
Middle East,Turkey,,Ankara,4,17,2014,59.5
Middle East,Turkey,,Ankara,4,18,2014,57.5
Middle East,Turkey,,Ankara,4,19,2014,50.4
Middle East,Turkey,,Ankara,4,20,2014,50.1
Middle East,Turkey,,Ankara,4,21,2014,52.5
Middle East,Turkey,,Ankara,4,22,2014,55.6
Middle East,Turkey,,Ankara,4,23,2014,59.9
Middle East,Turkey,,Ankara,4,24,2014,60.9
Middle East,Turkey,,Ankara,4,25,2014,63.3
Middle East,Turkey,,Ankara,4,26,2014,59.9
Middle East,Turkey,,Ankara,4,27,2014,58.4
Middle East,Turkey,,Ankara,4,28,2014,53.1
Middle East,Turkey,,Ankara,4,29,2014,51.0
Middle East,Turkey,,Ankara,4,30,2014,52.6
Middle East,Turkey,,Ankara,5,1,2014,50.5
Middle East,Turkey,,Ankara,5,2,2014,51.7
Middle East,Turkey,,Ankara,5,3,2014,56.0
Middle East,Turkey,,Ankara,5,4,2014,60.3
Middle East,Turkey,,Ankara,5,5,2014,53.1
Middle East,Turkey,,Ankara,5,6,2014,54.8
Middle East,Turkey,,Ankara,5,7,2014,53.8
Middle East,Turkey,,Ankara,5,8,2014,56.6
Middle East,Turkey,,Ankara,5,9,2014,60.3
Middle East,Turkey,,Ankara,5,10,2014,56.9
Middle East,Turkey,,Ankara,5,11,2014,51.9
Middle East,Turkey,,Ankara,5,12,2014,55.1
Middle East,Turkey,,Ankara,5,13,2014,57.9
Middle East,Turkey,,Ankara,5,14,2014,61.3
Middle East,Turkey,,Ankara,5,15,2014,68.1
Middle East,Turkey,,Ankara,5,16,2014,63.7
Middle East,Turkey,,Ankara,5,17,2014,61.4
Middle East,Turkey,,Ankara,5,18,2014,56.1
Middle East,Turkey,,Ankara,5,19,2014,55.7
Middle East,Turkey,,Ankara,5,20,2014,58.9
Middle East,Turkey,,Ankara,5,21,2014,58.5
Middle East,Turkey,,Ankara,5,22,2014,59.2
Middle East,Turkey,,Ankara,5,23,2014,60.8
Middle East,Turkey,,Ankara,5,24,2014,58.3
Middle East,Turkey,,Ankara,5,25,2014,59.5
Middle East,Turkey,,Ankara,5,26,2014,62.1
Middle East,Turkey,,Ankara,5,27,2014,65.8
Middle East,Turkey,,Ankara,5,28,2014,66.9
Middle East,Turkey,,Ankara,5,29,2014,64.8
Middle East,Turkey,,Ankara,5,30,2014,58.8
Middle East,Turkey,,Ankara,5,31,2014,58.1
Middle East,Turkey,,Ankara,6,1,2014,54.7
Middle East,Turkey,,Ankara,6,2,2014,56.1
Middle East,Turkey,,Ankara,6,3,2014,58.4
Middle East,Turkey,,Ankara,6,4,2014,64.1
Middle East,Turkey,,Ankara,6,5,2014,61.0
Middle East,Turkey,,Ankara,6,6,2014,58.0
Middle East,Turkey,,Ankara,6,7,2014,59.6
Middle East,Turkey,,Ankara,6,8,2014,60.8
Middle East,Turkey,,Ankara,6,9,2014,64.2
Middle East,Turkey,,Ankara,6,10,2014,66.8
Middle East,Turkey,,Ankara,6,11,2014,65.7
Middle East,Turkey,,Ankara,6,12,2014,60.0
Middle East,Turkey,,Ankara,6,13,2014,61.1
Middle East,Turkey,,Ankara,6,14,2014,66.5
Middle East,Turkey,,Ankara,6,15,2014,69.5
Middle East,Turkey,,Ankara,6,16,2014,65.5
Middle East,Turkey,,Ankara,6,17,2014,67.8
Middle East,Turkey,,Ankara,6,18,2014,69.0
Middle East,Turkey,,Ankara,6,19,2014,69.9
Middle East,Turkey,,Ankara,6,20,2014,64.5
Middle East,Turkey,,Ankara,6,21,2014,62.6
Middle East,Turkey,,Ankara,6,22,2014,62.9
Middle East,Turkey,,Ankara,6,23,2014,63.4
Middle East,Turkey,,Ankara,6,24,2014,66.3
Middle East,Turkey,,Ankara,6,25,2014,68.3
Middle East,Turkey,,Ankara,6,26,2014,72.6
Middle East,Turkey,,Ankara,6,27,2014,74.4
Middle East,Turkey,,Ankara,6,28,2014,70.5
Middle East,Turkey,,Ankara,6,29,2014,67.4
Middle East,Turkey,,Ankara,6,30,2014,71.1
Middle East,Turkey,,Ankara,7,1,2014,74.7
Middle East,Turkey,,Ankara,7,2,2014,75.8
Middle East,Turkey,,Ankara,7,3,2014,75.3
Middle East,Turkey,,Ankara,7,4,2014,68.7
Middle East,Turkey,,Ankara,7,5,2014,66.3
Middle East,Turkey,,Ankara,7,6,2014,67.4
Middle East,Turkey,,Ankara,7,7,2014,73.0
Middle East,Turkey,,Ankara,7,8,2014,73.1
Middle East,Turkey,,Ankara,7,9,2014,73.6
Middle East,Turkey,,Ankara,7,10,2014,77.7
Middle East,Turkey,,Ankara,7,11,2014,79.9
Middle East,Turkey,,Ankara,7,12,2014,76.1
Middle East,Turkey,,Ankara,7,13,2014,68.6
Middle East,Turkey,,Ankara,7,14,2014,75.3
Middle East,Turkey,,Ankara,7,15,2014,77.5
Middle East,Turkey,,Ankara,7,16,2014,78.2
Middle East,Turkey,,Ankara,7,17,2014,74.5
Middle East,Turkey,,Ankara,7,18,2014,75.5
Middle East,Turkey,,Ankara,7,19,2014,72.0
Middle East,Turkey,,Ankara,7,20,2014,67.9
Middle East,Turkey,,Ankara,7,21,2014,69.7
Middle East,Turkey,,Ankara,7,22,2014,73.2
Middle East,Turkey,,Ankara,7,23,2014,78.9
Middle East,Turkey,,Ankara,7,24,2014,77.3
Middle East,Turkey,,Ankara,7,25,2014,74.4
Middle East,Turkey,,Ankara,7,26,2014,74.3
Middle East,Turkey,,Ankara,7,27,2014,74.1
Middle East,Turkey,,Ankara,7,28,2014,77.0
Middle East,Turkey,,Ankara,7,29,2014,79.0
Middle East,Turkey,,Ankara,7,30,2014,78.6
Middle East,Turkey,,Ankara,7,31,2014,77.1
Middle East,Turkey,,Ankara,8,1,2014,80.8
Middle East,Turkey,,Ankara,8,2,2014,81.6
Middle East,Turkey,,Ankara,8,3,2014,77.2
Middle East,Turkey,,Ankara,8,4,2014,71.9
Middle East,Turkey,,Ankara,8,5,2014,70.7
Middle East,Turkey,,Ankara,8,6,2014,76.0
Middle East,Turkey,,Ankara,8,7,2014,74.9
Middle East,Turkey,,Ankara,8,8,2014,71.8
Middle East,Turkey,,Ankara,8,9,2014,71.3
Middle East,Turkey,,Ankara,8,10,2014,73.8
Middle East,Turkey,,Ankara,8,11,2014,76.0
Middle East,Turkey,,Ankara,8,12,2014,77.1
Middle East,Turkey,,Ankara,8,13,2014,75.8
Middle East,Turkey,,Ankara,8,14,2014,75.9
Middle East,Turkey,,Ankara,8,15,2014,79.2
Middle East,Turkey,,Ankara,8,16,2014,78.1
Middle East,Turkey,,Ankara,8,17,2014,80.8
Middle East,Turkey,,Ankara,8,18,2014,74.9
Middle East,Turkey,,Ankara,8,19,2014,71.4
Middle East,Turkey,,Ankara,8,20,2014,73.7
Middle East,Turkey,,Ankara,8,21,2014,76.4
Middle East,Turkey,,Ankara,8,22,2014,75.4
Middle East,Turkey,,Ankara,8,23,2014,75.3
Middle East,Turkey,,Ankara,8,24,2014,75.4
Middle East,Turkey,,Ankara,8,25,2014,77.8
Middle East,Turkey,,Ankara,8,26,2014,77.9
Middle East,Turkey,,Ankara,8,27,2014,80.7
Middle East,Turkey,,Ankara,8,28,2014,80.3
Middle East,Turkey,,Ankara,8,29,2014,72.2
Middle East,Turkey,,Ankara,8,30,2014,70.6
Middle East,Turkey,,Ankara,8,31,2014,73.3
Middle East,Turkey,,Ankara,9,1,2014,78.2
Middle East,Turkey,,Ankara,9,2,2014,80.5
Middle East,Turkey,,Ankara,9,3,2014,78.6
Middle East,Turkey,,Ankara,9,4,2014,77.7
Middle East,Turkey,,Ankara,9,5,2014,78.8
Middle East,Turkey,,Ankara,9,6,2014,74.3
Middle East,Turkey,,Ankara,9,7,2014,70.8
Middle East,Turkey,,Ankara,9,8,2014,65.9
Middle East,Turkey,,Ankara,9,9,2014,64.6
Middle East,Turkey,,Ankara,9,10,2014,63.0
Middle East,Turkey,,Ankara,9,11,2014,66.1
Middle East,Turkey,,Ankara,9,12,2014,68.9
Middle East,Turkey,,Ankara,9,13,2014,69.6
Middle East,Turkey,,Ankara,9,14,2014,63.1
Middle East,Turkey,,Ankara,9,15,2014,64.1
Middle East,Turkey,,Ankara,9,16,2014,65.2
Middle East,Turkey,,Ankara,9,17,2014,61.6
Middle East,Turkey,,Ankara,9,18,2014,58.5
Middle East,Turkey,,Ankara,9,19,2014,59.4
Middle East,Turkey,,Ankara,9,20,2014,57.5
Middle East,Turkey,,Ankara,9,21,2014,57.0
Middle East,Turkey,,Ankara,9,22,2014,60.8
Middle East,Turkey,,Ankara,9,23,2014,64.3
Middle East,Turkey,,Ankara,9,24,2014,53.9
Middle East,Turkey,,Ankara,9,25,2014,53.1
Middle East,Turkey,,Ankara,9,26,2014,56.5
Middle East,Turkey,,Ankara,9,27,2014,60.2
Middle East,Turkey,,Ankara,9,28,2014,53.4
Middle East,Turkey,,Ankara,9,29,2014,54.5
Middle East,Turkey,,Ankara,9,30,2014,52.4
Middle East,Turkey,,Ankara,10,1,2014,54.8
Middle East,Turkey,,Ankara,10,2,2014,55.9
Middle East,Turkey,,Ankara,10,3,2014,53.5
Middle East,Turkey,,Ankara,10,4,2014,53.6
Middle East,Turkey,,Ankara,10,5,2014,57.1
Middle East,Turkey,,Ankara,10,6,2014,59.4
Middle East,Turkey,,Ankara,10,7,2014,57.9
Middle East,Turkey,,Ankara,10,8,2014,57.8
Middle East,Turkey,,Ankara,10,9,2014,57.9
Middle East,Turkey,,Ankara,10,10,2014,58.8
Middle East,Turkey,,Ankara,10,11,2014,61.7
Middle East,Turkey,,Ankara,10,12,2014,57.3
Middle East,Turkey,,Ankara,10,13,2014,55.2
Middle East,Turkey,,Ankara,10,14,2014,55.4
Middle East,Turkey,,Ankara,10,15,2014,54.0
Middle East,Turkey,,Ankara,10,16,2014,53.1
Middle East,Turkey,,Ankara,10,17,2014,55.7
Middle East,Turkey,,Ankara,10,18,2014,55.0
Middle East,Turkey,,Ankara,10,19,2014,44.9
Middle East,Turkey,,Ankara,10,20,2014,40.6
Middle East,Turkey,,Ankara,10,21,2014,44.8
Middle East,Turkey,,Ankara,10,22,2014,48.5
Middle East,Turkey,,Ankara,10,23,2014,52.6
Middle East,Turkey,,Ankara,10,24,2014,50.0
Middle East,Turkey,,Ankara,10,25,2014,52.8
Middle East,Turkey,,Ankara,10,26,2014,53.9
Middle East,Turkey,,Ankara,10,27,2014,52.2
Middle East,Turkey,,Ankara,10,28,2014,52.5
Middle East,Turkey,,Ankara,10,29,2014,51.1
Middle East,Turkey,,Ankara,10,30,2014,51.2
Middle East,Turkey,,Ankara,10,31,2014,48.5
Middle East,Turkey,,Ankara,11,1,2014,43.7
Middle East,Turkey,,Ankara,11,2,2014,40.8
Middle East,Turkey,,Ankara,11,3,2014,35.2
Middle East,Turkey,,Ankara,11,4,2014,36.7
Middle East,Turkey,,Ankara,11,5,2014,38.8
Middle East,Turkey,,Ankara,11,6,2014,39.6
Middle East,Turkey,,Ankara,11,7,2014,41.8
Middle East,Turkey,,Ankara,11,8,2014,42.1
Middle East,Turkey,,Ankara,11,9,2014,45.2
Middle East,Turkey,,Ankara,11,10,2014,50.4
Middle East,Turkey,,Ankara,11,11,2014,48.5
Middle East,Turkey,,Ankara,11,12,2014,45.9
Middle East,Turkey,,Ankara,11,13,2014,46.5
Middle East,Turkey,,Ankara,11,14,2014,50.4
Middle East,Turkey,,Ankara,11,15,2014,50.4
Middle East,Turkey,,Ankara,11,16,2014,48.6
Middle East,Turkey,,Ankara,11,17,2014,45.4
Middle East,Turkey,,Ankara,11,18,2014,46.1
Middle East,Turkey,,Ankara,11,19,2014,47.4
Middle East,Turkey,,Ankara,11,20,2014,44.0
Middle East,Turkey,,Ankara,11,21,2014,44.1
Middle East,Turkey,,Ankara,11,22,2014,39.8
Middle East,Turkey,,Ankara,11,23,2014,40.8
Middle East,Turkey,,Ankara,11,24,2014,38.1
Middle East,Turkey,,Ankara,11,25,2014,36.8
Middle East,Turkey,,Ankara,11,26,2014,39.4
Middle East,Turkey,,Ankara,11,27,2014,39.6
Middle East,Turkey,,Ankara,11,28,2014,37.1
Middle East,Turkey,,Ankara,11,29,2014,37.8
Middle East,Turkey,,Ankara,11,30,2014,41.7
Middle East,Turkey,,Ankara,12,1,2014,45.3
Middle East,Turkey,,Ankara,12,2,2014,44.6
Middle East,Turkey,,Ankara,12,3,2014,45.7
Middle East,Turkey,,Ankara,12,4,2014,41.7
Middle East,Turkey,,Ankara,12,5,2014,44.7
Middle East,Turkey,,Ankara,12,6,2014,44.5
Middle East,Turkey,,Ankara,12,7,2014,44.9
Middle East,Turkey,,Ankara,12,8,2014,43.9
Middle East,Turkey,,Ankara,12,9,2014,46.7
Middle East,Turkey,,Ankara,12,10,2014,46.6
Middle East,Turkey,,Ankara,12,11,2014,42.2
Middle East,Turkey,,Ankara,12,12,2014,43.9
Middle East,Turkey,,Ankara,12,13,2014,44.3
Middle East,Turkey,,Ankara,12,14,2014,40.0
Middle East,Turkey,,Ankara,12,15,2014,37.6
Middle East,Turkey,,Ankara,12,16,2014,32.6
Middle East,Turkey,,Ankara,12,17,2014,32.7
Middle East,Turkey,,Ankara,12,18,2014,34.4
Middle East,Turkey,,Ankara,12,19,2014,40.1
Middle East,Turkey,,Ankara,12,20,2014,36.9
Middle East,Turkey,,Ankara,12,21,2014,35.8
Middle East,Turkey,,Ankara,12,22,2014,32.7
Middle East,Turkey,,Ankara,12,23,2014,31.8
Middle East,Turkey,,Ankara,12,24,2014,34.2
Middle East,Turkey,,Ankara,12,25,2014,33.4
Middle East,Turkey,,Ankara,12,26,2014,34.2
Middle East,Turkey,,Ankara,12,27,2014,41.6
Middle East,Turkey,,Ankara,12,28,2014,37.8
Middle East,Turkey,,Ankara,12,29,2014,44.6
Middle East,Turkey,,Ankara,12,30,2014,41.1
Middle East,Turkey,,Ankara,12,31,2014,38.3
Middle East,Turkey,,Ankara,1,1,2015,38.4
Middle East,Turkey,,Ankara,1,2,2015,35.6
Middle East,Turkey,,Ankara,1,3,2015,34.7
Middle East,Turkey,,Ankara,1,4,2015,34.6
Middle East,Turkey,,Ankara,1,5,2015,31.5
Middle East,Turkey,,Ankara,1,6,2015,27.8
Middle East,Turkey,,Ankara,1,7,2015,23.5
Middle East,Turkey,,Ankara,1,8,2015,13.3
Middle East,Turkey,,Ankara,1,9,2015,8.5
Middle East,Turkey,,Ankara,1,10,2015,16.8
Middle East,Turkey,,Ankara,1,11,2015,23.8
Middle East,Turkey,,Ankara,1,12,2015,31.5
Middle East,Turkey,,Ankara,1,13,2015,32.9
Middle East,Turkey,,Ankara,1,14,2015,26.7
Middle East,Turkey,,Ankara,1,15,2015,28.1
Middle East,Turkey,,Ankara,1,16,2015,31.2
Middle East,Turkey,,Ankara,1,17,2015,31.1
Middle East,Turkey,,Ankara,1,18,2015,29.8
Middle East,Turkey,,Ankara,1,19,2015,27.4
Middle East,Turkey,,Ankara,1,20,2015,27.8
Middle East,Turkey,,Ankara,1,21,2015,32.1
Middle East,Turkey,,Ankara,1,22,2015,30.8
Middle East,Turkey,,Ankara,1,23,2015,32.3
Middle East,Turkey,,Ankara,1,24,2015,35.0
Middle East,Turkey,,Ankara,1,25,2015,32.9
Middle East,Turkey,,Ankara,1,26,2015,36.8
Middle East,Turkey,,Ankara,1,27,2015,35.7
Middle East,Turkey,,Ankara,1,28,2015,38.8
Middle East,Turkey,,Ankara,1,29,2015,39.6
Middle East,Turkey,,Ankara,1,30,2015,38.5
Middle East,Turkey,,Ankara,1,31,2015,45.2
Middle East,Turkey,,Ankara,2,1,2015,50.4
Middle East,Turkey,,Ankara,2,2,2015,48.5
Middle East,Turkey,,Ankara,2,3,2015,40.3
Middle East,Turkey,,Ankara,2,4,2015,35.5
Middle East,Turkey,,Ankara,2,5,2015,39.2
Middle East,Turkey,,Ankara,2,6,2015,39.8
Middle East,Turkey,,Ankara,2,7,2015,40.4
Middle East,Turkey,,Ankara,2,8,2015,35.0
Middle East,Turkey,,Ankara,2,9,2015,35.1
Middle East,Turkey,,Ankara,2,10,2015,31.6
Middle East,Turkey,,Ankara,2,11,2015,31.4
Middle East,Turkey,,Ankara,2,12,2015,34.3
Middle East,Turkey,,Ankara,2,13,2015,36.0
Middle East,Turkey,,Ankara,2,14,2015,36.1
Middle East,Turkey,,Ankara,2,15,2015,36.3
Middle East,Turkey,,Ankara,2,16,2015,34.1
Middle East,Turkey,,Ankara,2,17,2015,27.1
Middle East,Turkey,,Ankara,2,18,2015,22.0
Middle East,Turkey,,Ankara,2,19,2015,27.0
Middle East,Turkey,,Ankara,2,20,2015,27.5
Middle East,Turkey,,Ankara,2,21,2015,23.4
Middle East,Turkey,,Ankara,2,22,2015,26.4
Middle East,Turkey,,Ankara,2,23,2015,31.3
Middle East,Turkey,,Ankara,2,24,2015,36.2
Middle East,Turkey,,Ankara,2,25,2015,38.6
Middle East,Turkey,,Ankara,2,26,2015,39.2
Middle East,Turkey,,Ankara,2,27,2015,46.0
Middle East,Turkey,,Ankara,2,28,2015,46.3
Middle East,Turkey,,Ankara,3,1,2015,41.1
Middle East,Turkey,,Ankara,3,2,2015,38.3
Middle East,Turkey,,Ankara,3,3,2015,39.5
Middle East,Turkey,,Ankara,3,4,2015,35.0
Middle East,Turkey,,Ankara,3,5,2015,32.6
Middle East,Turkey,,Ankara,3,6,2015,39.4
Middle East,Turkey,,Ankara,3,7,2015,42.7
Middle East,Turkey,,Ankara,3,8,2015,47.2
Middle East,Turkey,,Ankara,3,9,2015,49.4
Middle East,Turkey,,Ankara,3,10,2015,53.1
Middle East,Turkey,,Ankara,3,11,2015,49.5
Middle East,Turkey,,Ankara,3,12,2015,40.2
Middle East,Turkey,,Ankara,3,13,2015,39.4
Middle East,Turkey,,Ankara,3,14,2015,42.5
Middle East,Turkey,,Ankara,3,15,2015,42.3
Middle East,Turkey,,Ankara,3,16,2015,41.4
Middle East,Turkey,,Ankara,3,17,2015,39.2
Middle East,Turkey,,Ankara,3,18,2015,38.9
Middle East,Turkey,,Ankara,3,19,2015,36.8
Middle East,Turkey,,Ankara,3,20,2015,33.7
Middle East,Turkey,,Ankara,3,21,2015,36.0
Middle East,Turkey,,Ankara,3,22,2015,40.5
Middle East,Turkey,,Ankara,3,23,2015,41.3
Middle East,Turkey,,Ankara,3,24,2015,41.4
Middle East,Turkey,,Ankara,3,25,2015,40.9
Middle East,Turkey,,Ankara,3,26,2015,46.6
Middle East,Turkey,,Ankara,3,27,2015,50.8
Middle East,Turkey,,Ankara,3,28,2015,47.7
Middle East,Turkey,,Ankara,3,29,2015,48.1
Middle East,Turkey,,Ankara,3,30,2015,49.1
Middle East,Turkey,,Ankara,3,31,2015,45.2
Middle East,Turkey,,Ankara,4,1,2015,47.8
Middle East,Turkey,,Ankara,4,2,2015,42.5
Middle East,Turkey,,Ankara,4,3,2015,37.9
Middle East,Turkey,,Ankara,4,4,2015,35.6
Middle East,Turkey,,Ankara,4,5,2015,39.5
Middle East,Turkey,,Ankara,4,6,2015,49.6
Middle East,Turkey,,Ankara,4,7,2015,46.5
Middle East,Turkey,,Ankara,4,8,2015,42.0
Middle East,Turkey,,Ankara,4,9,2015,38.3
Middle East,Turkey,,Ankara,4,10,2015,34.6
Middle East,Turkey,,Ankara,4,11,2015,36.6
Middle East,Turkey,,Ankara,4,12,2015,40.1
Middle East,Turkey,,Ankara,4,13,2015,45.3
Middle East,Turkey,,Ankara,4,14,2015,45.8
Middle East,Turkey,,Ankara,4,15,2015,48.0
Middle East,Turkey,,Ankara,4,16,2015,48.3
Middle East,Turkey,,Ankara,4,17,2015,53.1
Middle East,Turkey,,Ankara,4,18,2015,57.0
Middle East,Turkey,,Ankara,4,19,2015,55.1
Middle East,Turkey,,Ankara,4,20,2015,45.3
Middle East,Turkey,,Ankara,4,21,2015,38.3
Middle East,Turkey,,Ankara,4,22,2015,37.3
Middle East,Turkey,,Ankara,4,23,2015,38.7
Middle East,Turkey,,Ankara,4,24,2015,41.5
Middle East,Turkey,,Ankara,4,25,2015,48.5
Middle East,Turkey,,Ankara,4,26,2015,49.5
Middle East,Turkey,,Ankara,4,27,2015,52.9
Middle East,Turkey,,Ankara,4,28,2015,58.1
Middle East,Turkey,,Ankara,4,29,2015,60.4
Middle East,Turkey,,Ankara,4,30,2015,55.8
Middle East,Turkey,,Ankara,5,1,2015,53.6
Middle East,Turkey,,Ankara,5,2,2015,53.9
Middle East,Turkey,,Ankara,5,3,2015,53.5
Middle East,Turkey,,Ankara,5,4,2015,54.4
Middle East,Turkey,,Ankara,5,5,2015,56.2
Middle East,Turkey,,Ankara,5,6,2015,58.3
Middle East,Turkey,,Ankara,5,7,2015,60.3
Middle East,Turkey,,Ankara,5,8,2015,58.2
Middle East,Turkey,,Ankara,5,9,2015,55.5
Middle East,Turkey,,Ankara,5,10,2015,53.6
Middle East,Turkey,,Ankara,5,11,2015,54.8
Middle East,Turkey,,Ankara,5,12,2015,55.4
Middle East,Turkey,,Ankara,5,13,2015,53.8
Middle East,Turkey,,Ankara,5,14,2015,54.9
Middle East,Turkey,,Ankara,5,15,2015,59.5
Middle East,Turkey,,Ankara,5,16,2015,64.9
Middle East,Turkey,,Ankara,5,17,2015,67.4
Middle East,Turkey,,Ankara,5,18,2015,68.3
Middle East,Turkey,,Ankara,5,19,2015,69.6
Middle East,Turkey,,Ankara,5,20,2015,71.0
Middle East,Turkey,,Ankara,5,21,2015,63.8
Middle East,Turkey,,Ankara,5,22,2015,66.3
Middle East,Turkey,,Ankara,5,23,2015,63.3
Middle East,Turkey,,Ankara,5,24,2015,66.6
Middle East,Turkey,,Ankara,5,25,2015,63.3
Middle East,Turkey,,Ankara,5,26,2015,64.0
Middle East,Turkey,,Ankara,5,27,2015,57.0
Middle East,Turkey,,Ankara,5,28,2015,57.2
Middle East,Turkey,,Ankara,5,29,2015,54.4
Middle East,Turkey,,Ankara,5,30,2015,53.7
Middle East,Turkey,,Ankara,5,31,2015,57.3
Middle East,Turkey,,Ankara,6,1,2015,61.1
Middle East,Turkey,,Ankara,6,2,2015,64.9
Middle East,Turkey,,Ankara,6,3,2015,61.7
Middle East,Turkey,,Ankara,6,4,2015,57.7
Middle East,Turkey,,Ankara,6,5,2015,57.6
Middle East,Turkey,,Ankara,6,6,2015,58.0
Middle East,Turkey,,Ankara,6,7,2015,65.1
Middle East,Turkey,,Ankara,6,8,2015,65.6
Middle East,Turkey,,Ankara,6,9,2015,64.6
